Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
86,Al-Mahdi Center,1016 S River Dr.,Tempe,AZ,85281,,,,1998,,https://www.almahdi.net/about-us,,,,,900
87,Tempe Mosque (Islamic Community Center),131 E 6th St,Tempe,AZ,85281,,,,1984,,https://emuseum.tempe.gov/objects/65023/tempe-islamic-center--mosque,,,,,2263
88,Omar Ibn Al-Khattab Mosque,6225 S McClintock Dr,Tempe,AZ,85283,,,,2001,,https://prayersconnect.com/mosques/84017189-masjid-omar-ibn-al-khattab-tempe-arizona-united-states,,,,,2275
89,Masjid Rahman,6040 N 43rd Ave,Glendale,AZ,85301,,,,-,No Basic Information,,,,,,2726
90,United Islamic Center of Arizona,19250 N 35 AV Glendale,Phoenix,AZ,85308,,,,2014,,https://uislamicca.com/home/sample-page-2/,,,,,601
91,United Islamic Center of Arizona UICA ,19250 N 35th Ave,Glendale,AZ,85308,,,,2014,,"https://www.causeiq.com/organizations/united-islamic-center-of-arizona,471172036/",,,,,2267
92,WVIC,10510 W Van Buren St,Avondale,AZ,85323,,,,-,No Basic Information,,,,,,2720
93,Islamic Center of Laveen (Laveen Mosque),5099 W Dobbins Rd #1,Laveen Village,AZ,85339,,,,2008,,"https://www.causeiq.com/organizations/islamic-center-of-laveen,262407029/",,,,,2269
94,Islamic Center of Yuma,200 W  24th St,Yuma,AZ,85364,,,,1999,,https://www.mapquest.com/us/arizona/islamic-center-of-yuma-23769214,,,,,1383
95,Albanian-American Islamic Center of Arizona,6724 E Greenway rd,Peoria,AZ,85381,,,,2003,,https://greenwaymasjidaz.com,,,,,924
96,Islamic Center of Peoria (ICP),23915 N Lake Pleasant Pkwy,Peoria,AZ,85383,,,,2019,,https://www.icpaz.org/about/,,,,,2719
97,Muslim Community Center of Tucson,5100 N Kevy Pl,Tucson,AZ,85704,,,,2014,,https://tucson.com/lifestyles/faith-and-values/article_b274bf11-78f8-570b-a760-dcf8da920a7a.html,,,,,710
98,Imam Abu Hanifa Islamic Center IAHIC,4727 East 5th Street,Tucson,AZ,85711,,,,2021,,https://iahiccenter.org/?page_id=2056,,,,,2722
